"...1","call","race","education","yearsexp","computerskills"
1774,0,"w",4,6,1
3317,0,"w",4,25,1
1464,0,"b",4,7,1
57,0,"w",4,21,1
4212,0,"b",3,11,1
4558,0,"b",3,4,1
3496,0,"w",4,7,0
4828,0,"b",4,8,1
808,0,"b",4,10,1
1980,0,"b",3,3,1
1809,0,"w",4,6,1
2365,0,"w",4,8,1
354,0,"b",3,5,0
1393,0,"b",4,7,0
3336,0,"w",0,2,1
449,0,"w",3,3,1
4767,0,"w",3,5,1
4498,0,"w",4,6,1
3271,0,"b",3,8,1
2360,0,"w",4,6,1
1549,0,"b",3,16,1
173,0,"b",4,14,1
288,0,"b",4,9,1
3207,0,"b",4,6,1
576,0,"w",4,8,1
3894,0,"b",4,7,0
4142,0,"w",4,11,1
4845,0,"b",3,2,1
2319,1,"w",4,14,1
3681,0,"w",4,11,1
2179,0,"w",4,6,1
3054,0,"w",4,8,1
3581,0,"w",4,7,0
4249,1,"b",4,4,1
3475,0,"w",4,16,0
2178,0,"w",4,8,0
3390,0,"w",4,5,0
1418,0,"w",4,7,0
1476,0,"b",4,7,1
2765,0,"w",3,6,1
44,0,"w",4,6,1
2743,0,"b",3,13,1
3227,0,"w",4,8,0
1792,0,"b",4,5,1
2569,0,"w",4,7,0
1876,0,"b",2,3,1
142,0,"b",0,4,1
1572,0,"w",4,9,1
350,0,"b",3,3,1
1154,0,"b",4,8,1
4102,0,"b",4,8,1
1465,0,"w",3,5,1
612,0,"w",4,11,1
969,0,"w",4,3,1
4727,0,"w",4,2,1
4395,0,"b",4,14,1
4051,0,"w",4,6,0
818,0,"b",4,16,1
4036,0,"b",4,6,0
582,0,"b",4,2,1
4127,1,"w",4,10,1
275,0,"b",4,4,0
4437,0,"b",4,7,1
3420,0,"b",3,4,1
2316,0,"b",2,19,0
885,0,"b",4,4,1
3550,0,"b",4,7,0
3478,0,"w",4,18,1
2854,0,"w",4,5,1
2194,1,"w",4,8,1
2233,0,"w",4,20,0
3382,1,"w",4,4,0
4392,0,"b",4,26,0
1534,0,"b",4,6,1
2195,1,"w",4,7,1
3412,0,"b",2,4,1
2081,0,"b",4,10,1
991,0,"w",3,4,1
3160,0,"w",4,8,1
3185,0,"w",4,14,1
4133,0,"w",3,14,1
3969,0,"w",4,6,0
52,0,"w",4,6,1
1638,0,"w",4,8,1
1962,0,"w",4,7,1
4759,0,"b",4,7,1
133,0,"w",4,5,0
3034,0,"b",3,4,1
684,0,"b",3,5,1
2030,0,"w",4,8,1
2851,0,"b",4,3,1
821,1,"w",3,16,1
489,0,"w",3,10,1
2344,0,"w",4,6,1
3826,0,"b",4,7,0
1673,0,"b",4,7,0
3402,0,"b",3,3,1
1867,0,"b",0,4,1
2372,0,"b",2,16,1
378,0,"b",4,8,1
2932,0,"b",4,11,1
2257,0,"b",4,4,1
1184,0,"w",2,19,0
4227,0,"w",4,4,1
3371,1,"w",2,4,0
2007,0,"w",4,13,1
540,0,"b",3,5,1
107,0,"b",4,6,1
2764,0,"b",2,6,1
4798,0,"w",4,2,1
2458,0,"w",4,26,0
749,0,"w",4,4,1
1871,0,"w",4,11,1
2526,0,"b",4,8,0
1288,0,"b",3,4,1
2889,0,"w",4,1,1
1828,0,"b",4,3,1
2218,0,"w",3,4,1
3052,0,"w",4,14,1
3566,0,"b",4,6,1
101,0,"b",4,7,1
4701,0,"b",2,6,1
1404,0,"b",4,26,0
2566,0,"w",4,6,1
1159,0,"w",3,13,1
3253,0,"w",4,6,1
3070,0,"b",3,16,1
2934,0,"w",3,12,0
12,0,"w",4,8,1
1620,0,"b",4,7,1
1017,0,"w",4,8,1
2317,1,"w",3,13,1
633,0,"w",4,8,1
2054,0,"b",4,4,1
2243,0,"w",3,9,1
329,0,"b",3,2,1
30,0,"b",4,2,1
4407,0,"w",4,7,1
4134,0,"b",2,18,0
815,0,"b",4,5,1
1470,0,"b",4,16,1
2702,0,"b",4,6,1
3455,0,"w",4,11,0
4180,0,"w",4,5,0
4374,0,"b",3,7,1
521,0,"w",4,4,1
4248,0,"w",4,5,1
4654,0,"b",3,4,1
2774,0,"w",3,4,1
1373,0,"w",3,12,1
2060,0,"w",3,6,1
4274,0,"w",4,3,1
4033,0,"w",3,5,1
1190,0,"w",4,4,1
4334,0,"w",3,19,1
3548,0,"w",4,8,1
989,1,"b",4,3,1
3694,1,"b",3,18,1
4462,0,"b",4,21,1
943,0,"w",4,6,0
3430,0,"b",3,12,1
2444,0,"b",4,14,1
1782,0,"w",4,5,0
2154,0,"w",4,14,1
1824,0,"w",4,1,1
2710,0,"w",4,8,1
3438,0,"b",4,16,1
4593,0,"b",4,14,1
3251,0,"b",4,2,1
1401,0,"b",4,26,0
682,0,"b",4,7,1
2750,0,"b",4,9,1
3891,0,"w",4,2,1
1842,0,"b",3,16,1
3098,0,"b",4,13,1
2128,0,"b",2,10,0
2554,0,"b",4,4,1
4600,0,"w",4,8,0
898,1,"w",4,5,1
854,0,"w",4,2,1
1729,0,"b",0,4,1
1629,0,"w",4,6,1
3612,0,"b",4,6,1
4281,0,"b",3,2,1
3723,0,"b",4,5,0
646,0,"w",4,5,1
1180,0,"b",4,4,1
2281,0,"b",4,7,0
403,0,"w",3,13,1
1074,0,"b",3,6,1
49,0,"w",4,4,1
1813,0,"b",4,6,1
4810,0,"w",4,8,0
2887,0,"b",4,3,1
4017,0,"w",4,14,1
1812,0,"w",4,6,1
3709,0,"w",4,5,0
3502,0,"b",4,7,0
2101,0,"b",4,11,1
1110,0,"w",4,4,1
4714,0,"w",1,4,1
986,0,"b",4,11,1
2373,0,"b",4,11,1
4534,0,"b",3,3,1
317,0,"w",4,6,1
4326,0,"b",4,9,1
544,0,"w",3,9,1
4834,0,"b",4,14,1
3965,0,"w",4,7,0
552,0,"b",4,6,1
978,0,"b",4,4,1
1049,1,"w",4,4,1
63,0,"w",0,5,1
2613,1,"w",3,13,1
371,0,"b",4,2,1
2220,0,"b",3,1,1
3180,0,"w",4,26,0
2621,1,"w",4,9,1
3458,0,"b",4,2,1
3928,0,"w",4,6,1
4712,0,"w",2,7,1
4639,0,"b",3,7,1
3126,0,"b",4,20,0
3938,0,"b",3,12,1
4451,0,"w",4,5,1
2271,0,"w",4,7,0
891,0,"b",2,9,1
3422,0,"w",3,4,1
1185,0,"w",3,1,1
84,0,"b",4,3,1
3436,0,"w",3,9,1
4509,0,"w",3,2,1
609,0,"w",4,11,1
2078,0,"w",4,7,0
1062,0,"w",4,10,1
515,0,"w",4,7,1
622,0,"w",4,5,1
409,0,"b",3,4,1
1397,0,"b",4,20,0
3476,0,"b",4,2,1
1454,0,"w",4,4,1
3882,0,"w",4,18,1
194,0,"b",4,14,1
1497,0,"b",4,11,1
2581,0,"b",4,8,1
3001,0,"w",4,26,0
3774,0,"b",4,11,1
3961,0,"b",3,7,1
704,0,"w",2,8,0
3808,1,"b",4,2,1
1146,0,"b",4,14,1
